"","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","rental_type","rental_num","rentalship","day_in_month","year"
"1","2011-01-01",1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,"casual",331,"Low",1,2011
"2","2011-01-02",1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,"casual",131,"Low",2,2011
"3","2011-01-03",1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,"casual",120,"Low",3,2011
"4","2011-01-04",1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,"casual",108,"Low",4,2011
"5","2011-01-05",1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,"casual",82,"Low",5,2011
"6","2011-01-06",1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,"casual",88,"Low",6,2011
"7","2011-01-07",1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,"casual",148,"Low",7,2011
"8","2011-01-08",1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,"casual",68,"Low",8,2011
"9","2011-01-09",1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,"casual",54,"Low",9,2011
"10","2011-01-10",1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,"casual",41,"Low",10,2011
"11","2011-01-11",1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,"casual",43,"Low",11,2011
"12","2011-01-12",1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,"casual",25,"Low",12,2011
"13","2011-01-13",1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,"casual",38,"Low",13,2011
"14","2011-01-14",1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,"casual",54,"Low",14,2011
"15","2011-01-15",1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,"casual",222,"Low",15,2011
"16","2011-01-16",1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,"casual",251,"Low",16,2011
"17","2011-01-17",1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,"casual",117,"Low",17,2011
"18","2011-01-18",1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,"casual",9,"Low",18,2011
"19","2011-01-19",1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,"casual",78,"Low",19,2011
"20","2011-01-20",1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,"casual",83,"Low",20,2011
"21","2011-01-21",1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,"casual",75,"Low",21,2011
"22","2011-01-22",1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,"casual",93,"Low",22,2011
"23","2011-01-23",1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,"casual",150,"Low",23,2011
"24","2011-01-24",1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,"casual",86,"Low",24,2011
"25","2011-01-25",1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,"casual",186,"Low",25,2011
"26","2011-01-26",1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,"casual",34,"Low",26,2011
"27","2011-01-27",1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,"casual",15,"Low",27,2011
"28","2011-01-28",1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,"casual",38,"Low",28,2011
"29","2011-01-29",1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,"casual",123,"Low",29,2011
"30","2011-01-30",1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,"casual",140,"Low",30,2011
"31","2011-01-31",1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,"casual",42,"Low",31,2011
"32","2011-02-01",1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,"casual",47,"Low",1,2011
"33","2011-02-02",1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,"casual",72,"Low",2,2011
"34","2011-02-03",1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,"casual",61,"Low",3,2011
"35","2011-02-04",1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,"casual",88,"Low",4,2011
"36","2011-02-05",1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,"casual",100,"Low",5,2011
"37","2011-02-06",1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,"casual",354,"Low",6,2011
"38","2011-02-07",1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,"casual",120,"Low",7,2011
"39","2011-02-08",1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,"casual",64,"Low",8,2011
"40","2011-02-09",1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,"casual",53,"Low",9,2011
"41","2011-02-10",1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,"casual",47,"Low",10,2011
"42","2011-02-11",1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,"casual",149,"Low",11,2011
"43","2011-02-12",1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,"casual",288,"Low",12,2011
"44","2011-02-13",1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,"casual",397,"Low",13,2011
"45","2011-02-14",1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,"casual",208,"Low",14,2011
"46","2011-02-15",1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,"casual",140,"Low",15,2011
"47","2011-02-16",1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,"casual",218,"Low",16,2011
"48","2011-02-17",1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,"casual",259,"Low",17,2011
"49","2011-02-18",1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,"casual",579,"Low",18,2011
"50","2011-02-19",1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,"casual",532,"Low",19,2011
"51","2011-02-20",1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,"casual",639,"Low",20,2011
"52","2011-02-21",1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,"casual",195,"Low",21,2011
"53","2011-02-22",1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,"casual",74,"Low",22,2011
"54","2011-02-23",1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,"casual",139,"Low",23,2011
"55","2011-02-24",1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,"casual",100,"Low",24,2011
"56","2011-02-25",1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,"casual",120,"Low",25,2011
"57","2011-02-26",1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,"casual",424,"Low",26,2011
"58","2011-02-27",1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,"casual",694,"Low",27,2011
"59","2011-02-28",1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,"casual",81,"Low",28,2011
"60","2011-03-01",1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,"casual",137,"Low",1,2011
"61","2011-03-02",1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,"casual",231,"Low",2,2011
"62","2011-03-03",1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,"casual",123,"Low",3,2011
"63","2011-03-04",1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,"casual",214,"Low",4,2011
"64","2011-03-05",1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,"casual",640,"Low",5,2011
"65","2011-03-06",1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,"casual",114,"Low",6,2011
"66","2011-03-07",1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,"casual",244,"Low",7,2011
"67","2011-03-08",1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,"casual",316,"Low",8,2011
"68","2011-03-09",1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,"casual",191,"Low",9,2011
"69","2011-03-10",1,0,3,0,4,1,3,0.389091,0.385668,0,0.261877,"casual",46,"Low",10,2011
"70","2011-03-11",1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,"casual",247,"Low",11,2011
"71","2011-03-12",1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,"casual",724,"Low",12,2011
"72","2011-03-13",1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,"casual",982,"Low",13,2011
"73","2011-03-14",1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,"casual",359,"Low",14,2011
"74","2011-03-15",1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,"casual",289,"Low",15,2011
"75","2011-03-16",1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,"casual",321,"Low",16,2011
"76","2011-03-17",1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,"casual",424,"Low",17,2011
"77","2011-03-18",1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,"casual",884,"Low",18,2011
"78","2011-03-19",1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,"casual",1424,"Low",19,2011
"79","2011-03-20",1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,"casual",1047,"Low",20,2011
